date	05/22	05/23	05/27	05/28	05/29	05/30	06/02	06/03	06/04	06/05	06/06	06/09	06/10	06/11	06/12	06/13	06/16	06/17	06/18	06/19	06/20	06/23	06/24	06/25	06/26	06/27	06/30	07/01	07/02	07/03	07/07	07/08	07/09	07/10	07/11	07/14	07/15	07/16	07/17	07/18	07/21	07/22	07/23	07/24	07/25	07/28	07/29	07/30	07/31	08/01	08/04	08/05	08/06	08/07	08/08	08/11	08/12	08/13	08/14	08/15	08/18	08/19	08/20	08/21	08/22
QCOM	-0.14	0.40	0.73	-0.30	-0.04	0.32	0.04	-0.10	-0.60	-0.33	0.90	-0.53	-0.96	0.04	0.16	-0.29	-0.58	0.65	0.04	0.71	0.14	-0.54	-0.82	-0.93	0.92	0.28	0.27	0.67	0.55	1.02	-0.21	-0.21	0.15	-0.42	-1.03	-0.10	-0.10	0.23	-1.90	1.64	0.35	2.33	0.09	-6.65	-0.09	-0.35	-0.69	0.97	-3.05	-1.59	0.98	-0.70	0.19	-0.55	1.92	1.15	-0.79	0.49	0.35	-0.47	0.83	0.13	1.74	0.43	0.07
TXN	1.07	0.24	0.22	0.24	0.43	0.69	0.02	0.00	-0.30	1.17	0.21	0.80	0.19	0.25	0.10	0.39	-0.41	0.27	-0.81	0.08	0.06	0.29	-0.77	0.69	-0.52	-0.06	0.06	1.46	0.04	0.91	-0.06	-0.14	0.88	-0.57	0.59	-0.75	-0.53	0.80	-1.83	1.39	0.72	-0.10	-1.87	-0.71	-2.17	1.13	-1.22	0.98	-2.07	-0.02	0.32	-0.86	0.39	-1.08	1.45	0.37	0.37	0.88	0.38	0.63	0.00	0.27	0.40	0.61	-0.31
IBM	-0.38	0.14	-0.62	-0.92	0.37	0.33	0.72	-0.71	0.08	0.80	0.21	-0.08	-1.04	-1.11	-0.57	0.74	-0.12	-0.05	0.74	-0.42	-0.69	0.32	-0.69	-0.09	-0.19	0.74	-0.24	2.80	1.09	0.07	-0.26	-0.44	0.64	-0.38	0.16	0.99	-0.72	2.05	0.07	0.01	-0.86	1.70	-0.24	0.83	-0.43	0.71	-0.62	-0.29	-1.20	-1.31	0.26	-1.34	-0.60	-0.90	1.26	0.45	-0.07	0.33	-0.04	-0.27	1.06	0.37	0.02	0.59	-0.43
HPQ	-2.28	6.10	-1.84	0.76	0.87	-0.42	-0.21	0.78	0.21	0.33	-0.09	-0.30	-0.39	-1.07	0.42	5.30	-0.74	0.03	-0.57	-0.66	-0.75	0.88	-1.65	-1.06	0.95	0.00	-0.68	1.48	-0.88	0.35	-0.38	-1.09	0.45	0.59	0.35	0.53	0.00	1.96	-1.12	1.10	-0.83	1.83	-0.48	0.17	1.11	0.48	0.96	0.47	-1.38	-1.18	0.40	-0.74	-0.09	-0.63	1.01	0.09	-0.23	0.51	0.82	-1.46	0.77	0.40	-1.01	5.35	-0.43
CSCO	-0.41	0.57	0.77	0.45	-0.56	-0.24	0.65	-0.40	-0.73	0.82	0.53	-0.12	0.81	0.16	-1.52	0.16	-0.69	-0.12	0.53	0.32	0.49	-0.52	-0.69	0.77	-0.28	0.20	0.61	0.93	-0.20	0.64	0.16	-0.63	1.48	0.00	0.31	-0.31	0.90	1.21	-1.35	1.09	-0.23	0.39	-1.04	0.58	0.54	-0.19	-0.81	-0.31	-1.56	-0.91	0.68	-0.79	-0.16	-0.28	0.68	0.80	-0.32	0.20	-2.62	-0.45	0.82	0.04	0.28	0.73	-0.96
VMW	1.54	0.07	0.29	-0.79	2.72	-2.17	0.30	-0.82	0.40	0.33	0.28	-0.41	-0.23	0.13	-2.46	1.00	0.12	-0.45	0.58	-1.00	-1.24	1.34	-0.73	2.51	1.71	-0.72	-0.21	1.53	-0.71	0.76	-1.26	-1.93	-0.53	0.77	-1.35	1.92	-1.20	-0.81	-0.98	2.34	-2.48	3.31	-1.57	2.21	0.64	0.28	1.14	3.27	-2.43	-1.04	1.73	-1.37	1.36	-1.23	-0.16	1.60	-1.16	1.06	0.84	0.34	1.95	-0.52	0.93	-1.03	-0.32
RHT	0.70	0.46	0.24	-1.59	1.08	-0.83	-0.14	-0.12	-0.56	1.21	1.07	1.14	-0.19	0.27	-1.90	2.83	0.42	0.56	1.28	3.79	-0.05	-0.13	-0.47	1.21	-0.14	-0.31	0.20	1.63	-0.07	-0.05	-0.66	-2.24	0.83	-0.27	-0.09	0.90	-1.50	0.83	-1.66	1.72	-1.09	2.62	0.36	0.89	0.53	0.04	-0.97	3.81	-0.29	0.46	0.38	-0.29	-0.27	0.17	0.74	0.61	0.15	0.88	0.08	0.03	1.87	2.58	-1.38	-0.18	0.88
AMZN	-0.03	2.40	-0.45	-0.21	1.17	-0.39	-1.19	-0.53	-0.13	5.47	1.89	-0.66	1.50	0.84	-2.77	0.11	0.41	-0.61	2.69	-2.21	-0.86	0.94	-0.94	1.01	-0.53	-0.34	0.06	2.34	0.14	1.39	-1.17	-2.92	1.90	-0.62	5.57	2.63	-0.25	0.41	-0.97	1.76	0.31	0.30	-0.75	0.13	-9.65	-1.11	-0.13	0.78	-2.95	-1.89	2.15	-0.42	0.50	-0.78	1.72	0.48	0.31	2.18	2.12	0.13	0.27	0.18	0.19	-0.85	-0.40
TSLA	2.72	1.18	2.05	-0.62	0.00	-1.17	-1.48	0.12	-0.46	1.43	0.61	-1.37	-1.47	1.07	-0.46	1.42	8.81	3.14	-1.96	0.29	0.79	3.32	-1.99	1.89	-0.54	1.47	0.42	-0.14	-4.29	-0.08	-2.87	-1.61	1.82	-1.61	-0.61	3.93	-3.14	-1.10	-0.81	2.14	0.24	-0.44	1.33	0.47	0.01	0.56	0.08	1.74	-2.46	4.46	2.25	-0.01	4.38	1.39	-1.69	4.51	0.25	0.13	0.41	0.24	-0.79	-1.22	-0.41	-0.54	0.96
NFLX	0.31	2.69	-0.88	0.61	3.48	0.63	1.01	-1.06	1.35	1.21	0.42	-1.64	1.23	0.40	-1.76	1.25	0.60	3.11	1.13	-1.62	-0.27	-0.15	-0.72	1.80	-1.04	0.56	-0.33	7.38	-1.34	1.20	-2.48	-3.38	-0.46	-1.00	0.32	2.87	-0.77	-1.04	-1.14	1.09	1.75	-4.62	-0.74	-0.59	-0.83	0.66	-0.09	2.38	-2.68	0.63	-0.63	0.04	1.76	4.50	-0.85	1.28	-1.14	1.15	-0.15	1.82	1.51	0.46	0.86	-0.03	1.51
